,label,text,text_clean,text_tokens,text_tokens_lemma,word_count,noun_count,verb_count,adj_count,adv_count,pron_count
0,ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat,go jurong point crazy available bugis n great world la e buffet cine got amore wat,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amore', 'wat']","['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amore', 'wat']",131,6,3,5,2,0
1,ham,lar joking wif oni,lar joking wif oni,"['lar', 'joking', 'wif', 'oni']","['lar', 'joking', 'wif', 'oni']",31,3,0,1,0,0
2,spam,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply over,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs,"['free', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'receive', 'entry', 'questionstd', 'txt', 'ratetcs', 'apply', 'overs']","['free', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'receive', 'entry', 'questionstd', 'txt', 'ratetcs', 'apply', 'over']",167,10,3,5,0,0
3,ham,dun early hor c already,dun early hor c already,"['dun', 'early', 'hor', 'c', 'already']","['dun', 'early', 'hor', 'c', 'already']",39,2,0,1,2,0
4,ham,nah dont think go usf life around though,nah dont think goes usf lives around though,"['nah', 'dont', 'think', 'goes', 'usf', 'lives', 'around', 'though']","['nah', 'dont', 'think', 'go', 'usf', 'life', 'around', 'though']",65,2,2,2,0,0
5,spam,freemsg hey darling week word back id like fun still tb xxx std chgs send rcv,freemsg hey darling weeks word back id like fun still tb xxx std chgs send rcv,"['freemsg', 'hey', 'darling', 'weeks', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'xxx', 'std', 'chgs', 'send', 'rcv']","['freemsg', 'hey', 'darling', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'xxx', 'std', 'chgs', 'send', 'rcv']",126,9,3,1,2,0
6,ham,even brother like speak treat like aid patent,even brother like speak treat like aids patent,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']","['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']",70,3,0,1,2,0
7,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', 'copy', 'friends', 'callertune']","['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', 'copy', 'friend', 'callertune']",155,11,1,2,0,0
8,spam,winner valued network customer selected receivea prize reward claim call claim code kl valid hour,winner valued network customer selected receivea prize reward claim call claim code kl valid hours,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hours']","['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hour']",143,10,3,2,0,0
9,spam,mobile month r entitled update latest colour mobile camera free call mobile update co free,mobile months r entitled update latest colour mobiles camera free call mobile update co free,"['mobile', 'months', 'r', 'entitled', 'update', 'latest', 'colour', 'mobiles', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free']","['mobile', 'month', 'r', 'entitled', 'update', 'latest', 'colour', 'mobile', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free']",136,7,1,7,0,0
10,ham,gon na home soon dont want talk stuff anymore tonight k ive cried enough today,gonna home soon dont want talk stuff anymore tonight k ive cried enough today,"['gon', 'na', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'ive', 'cried', 'enough', 'today']","['gon', 'na', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'ive', 'cried', 'enough', 'today']",124,6,1,4,3,0
11,spam,six chance win cash pound txt csh send cost pday day tsandcs apply reply hl info,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info,"['six', 'chances', 'win', 'cash', 'pounds', 'txt', 'csh', 'send', 'cost', 'pday', 'days', 'tsandcs', 'apply', 'reply', 'hl', 'info']","['six', 'chance', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'pday', 'day', 'tsandcs', 'apply', 'reply', 'hl', 'info']",129,8,4,2,1,0
12,spam,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw,"['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', 'ldnwarw']","['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', 'ldnwarw']",134,10,1,3,0,0
13,ham,ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,"['ive', 'searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']","['ive', 'searching', 'right', 'word', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'time']",158,9,3,4,0,0
14,ham,date sunday,date sunday,"['date', 'sunday']","['date', 'sunday']",18,2,0,0,0,0
15,spam,xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'xxxmobilemovieclubcomnqjkgighjjgcbl']",137,8,1,2,0,0
16,ham,oh kim watching,oh kim watching,"['oh', 'kim', 'watching']","['oh', 'kim', 'watching']",25,1,1,0,0,0
17,ham,eh remember spell name yes v naughty make v wet,eh remember spell name yes v naughty make v wet,"['eh', 'remember', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']","['eh', 'remember', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']",78,4,2,3,1,0
18,ham,fine thats way feel thats way gota b,fine thats way feel thats way gota b,"['fine', 'thats', 'way', 'feel', 'thats', 'way', 'gota', 'b']","['fine', 'thats', 'way', 'feel', 'thats', 'way', 'gota', 'b']",61,6,1,1,0,0
19,spam,england v macedonia dont miss goalsteam news txt national team eg england trywales scotland txt poboxoxwwq,england v macedonia dont miss goalsteam news txt national team eg england trywales scotland txt poboxoxwwq,"['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'national', 'team', 'eg', 'england', 'trywales', 'scotland', 'txt', 'poboxoxwwq']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'national', 'team', 'eg', 'england', 'trywales', 'scotland', 'txt', 'poboxoxwwq']",155,12,2,1,0,0
20,ham,seriously spell name,seriously spell name,"['seriously', 'spell', 'name']","['seriously', 'spell', 'name']",30,2,0,0,1,0
21,ham,going try month ha ha joking,going try months ha ha joking,"['going', 'try', 'months', 'ha', 'ha', 'joking']","['going', 'try', 'month', 'ha', 'ha', 'joking']",47,3,2,1,0,0
22,ham,pay first lar da stock comin,pay first lar da stock comin,"['pay', 'first', 'lar', 'da', 'stock', 'comin']","['pay', 'first', 'lar', 'da', 'stock', 'comin']",47,4,0,1,1,0
23,ham,aft finish lunch go str lor ard smth lor finish lunch already,aft finish lunch go str lor ard smth lor finish lunch already,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'finish', 'lunch', 'already']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'finish', 'lunch', 'already']",98,8,1,2,1,0
24,ham,ffffffffff alright way meet sooner,ffffffffff alright way meet sooner,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'sooner']",50,4,1,0,0,0
25,ham,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol,"['forced', 'eat', 'slice', 'really', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', 'sick', 'turn', 'pizza', 'lol']","['forced', 'eat', 'slice', 'really', 'hungry', 'tho', 'suck', 'mark', 'getting', 'worried', 'know', 'sick', 'turn', 'pizza', 'lol']",131,4,6,4,1,0
26,ham,lol always convincing,lol always convincing,"['lol', 'always', 'convincing']","['lol', 'always', 'convincing']",31,1,1,0,1,0
27,ham,catch bus frying egg make tea eating mom left dinner feel love,catch bus frying egg make tea eating moms left dinner feel love,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'moms', 'left', 'dinner', 'feel', 'love']","['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love']",99,8,4,0,0,0
28,ham,back amp packing car let know there room,back amp packing car let know theres room,"['back', 'amp', 'packing', 'car', 'let', 'know', 'theres', 'room']","['back', 'amp', 'packing', 'car', 'let', 'know', 'there', 'room']",65,5,1,0,1,0
29,ham,ahhh work vaguely remember feel like lol,ahhh work vaguely remember feel like lol,"['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']","['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']",62,3,1,1,1,0
30,ham,wait thats still clear sure sarcastic thats x doesnt want live u,wait thats still clear sure sarcastic thats x doesnt want live us,"['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'us']","['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'u']",101,4,2,5,1,0
31,ham,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheer,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers,"['yeah', 'got', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wont', 'go', 'badly', 'cheers']","['yeah', 'got', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wont', 'go', 'badly', 'cheer']",142,5,5,4,1,0
32,ham,k tell anything,k tell anything,"['k', 'tell', 'anything']","['k', 'tell', 'anything']",25,2,1,0,0,0
33,ham,fear fainting housework quick cuppa,fear fainting housework quick cuppa,"['fear', 'fainting', 'housework', 'quick', 'cuppa']","['fear', 'fainting', 'housework', 'quick', 'cuppa']",51,3,1,1,0,0
34,spam,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', 'month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']","['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', 'month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']",134,6,5,0,2,0
35,ham,yup go home look timing msg xuhui going learn nd may lesson,yup go home look timings msg xuhui going learn nd may lesson,"['yup', 'go', 'home', 'look', 'timings', 'msg', 'xuhui', 'going', 'learn', 'nd', 'may', 'lesson']","['yup', 'go', 'home', 'look', 'timing', 'msg', 'xuhui', 'going', 'learn', 'nd', 'may', 'lesson']",96,6,4,1,0,0
36,ham,oops let know roommate done,oops let know roommates done,"['oops', 'let', 'know', 'roommates', 'done']","['oops', 'let', 'know', 'roommate', 'done']",43,1,4,0,0,0
37,ham,see letter b car,see letter b car,"['see', 'letter', 'b', 'car']","['see', 'letter', 'b', 'car']",29,3,1,0,0,0
38,ham,anything lor decide,anything lor decide,"['anything', 'lor', 'decide']","['anything', 'lor', 'decide']",29,2,0,1,0,0
39,ham,hello hows saturday go texting see youd decided anything tomo trying invite anything,hello hows saturday go texting see youd decided anything tomo trying invite anything,"['hello', 'hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'trying', 'invite', 'anything']","['hello', 'hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'trying', 'invite', 'anything']",124,5,6,1,1,0
